# Logfile created on 2026-04-27 07:52:32 +0200 by logger.rb/v1.4.3
2026-04-27 07:52:32 +0200: Memory Usage (429828K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/LC_VCO_FPLL/gds/blocks/4nH_INDUCTOR.gds
2026-04-27 07:52:32 +0200: Memory Usage (429828K) : Ruby Version for klayout: 3.0.2
2026-04-27 07:52:32 +0200: Memory Usage (433904K) : Loading database to memory is complete.
2026-04-27 07:52:32 +0200: Memory Usage (433904K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/LC_VCO_FPLL/drc/drc_run_4nH_INDUCTOR/4nH_INDUCTOR_4nH_INDUCTOR_main.lyrdb
2026-04-27 07:52:32 +0200: Memory Usage (433904K) : Evaluate switches.
2026-04-27 07:52:32 +0200: Memory Usage (433904K) : tables selected: main
2026-04-27 07:52:32 +0200: Memory Usage (433904K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-27 07:52:32 +0200: Memory Usage (433904K) : deep mode is enabled.
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : FEOL enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : BEOL enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : OFFGRID enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : ANGLE enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : PIN enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : FORBIDDEN enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : RECOMMENDED enabled: true
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : PreCheck DRC enabled: false
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : CONNECTIVITY_RULES enabled: true.
2026-04-27 07:52:33 +0200: Memory Usage (433904K) : Read in polygons from layers.
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_drw has 158 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_mask has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_filler has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_nofill has 1 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_iopc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : activ_noqrc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : biwind_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : biwind_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : pemwind_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_filler has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_nofill has 1 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_iopc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (434288K) : gatpoly_noqrc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (437872K) : cont_drw has 169540 polygons
2026-04-27 07:52:33 +0200: Memory Usage (437872K) : cont_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (437872K) : nsd_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (437872K) : nsd_block has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438136K) : metal1_drw has 92 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438136K) : metal1_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438136K) : metal1_mask has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438136K) : metal1_filler has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438136K) : metal1_nofill has 1 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438136K) : metal1_slit has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438400K) : metal1_text has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438400K) : metal1_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438400K) : metal1_noqrc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438400K) : metal1_res has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438400K) : metal1_iprobe has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438400K) : metal1_diffprb has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : passiv_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : passiv_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : passiv_sbump has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : passiv_pillar has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : passiv_pdl has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : metal2_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (438780K) : metal2_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439044K) : metal2_mask has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439044K) : metal2_filler has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439044K) : metal2_nofill has 1 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439044K) : metal2_slit has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439044K) : metal2_text has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439044K) : metal2_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439308K) : metal2_noqrc has 0 polygons
