# Logfile created on 2026-09-10 11:36:52 +0200 by logger.rb/v1.5.3
2026-09-10 11:36:52 +0200: Memory Usage (455328K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/uniccass-icdesign-tools/shared_xserver/LC_VCO_FPLL/gds/LC_VCO_FPLL.gds
2026-09-10 11:36:52 +0200: Memory Usage (455328K) : Ruby Version for klayout: 3.2.3
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : Loading database to memory is complete.
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/uniccass-icdesign-tools/shared_xserver/LC_VCO_FPLL/drc/drc_run_LC_VCO_FPLL/LC_VCO_FPLL_LC_VCO_FPLL_main.lyrdb
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : Evaluate switches.
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : tables selected: main
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : deep mode is enabled.
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : FEOL enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : BEOL enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : OFFGRID enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : ANGLE enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : PIN enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : FORBIDDEN enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : RECOMMENDED enabled: true
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : PreCheck DRC enabled: false
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : CONNECTIVITY_RULES enabled: true.
2026-09-10 11:36:53 +0200: Memory Usage (462832K) : Read in polygons from layers.
2026-09-10 11:36:53 +0200: Memory Usage (463684K) : activ_drw has 3062 polygons
2026-09-10 11:36:53 +0200: Memory Usage (464656K) : activ_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (464656K) : activ_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (464656K) : activ_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (464656K) : activ_nofill has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (464920K) : activ_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (464920K) : activ_iopc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (465008K) : activ_noqrc has 1 polygons
2026-09-10 11:36:53 +0200: Memory Usage (465008K) : biwind_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (465008K) : biwind_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (465268K) : pemwind_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (465268K) : gatpoly_drw has 3177 polygons
