# Logfile created on 2026-09-09 22:37:20 +0200 by logger.rb/v1.4.3
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/LC_VCO_FPLL/gds/blocks/LC_VCO_NOIND.gds
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : Ruby Version for klayout: 3.0.2
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : Loading database to memory is complete.
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/LC_VCO_FPLL/drc/drc_run_LC_VCO_NOIND/LC_VCO_NOIND_LC_VCO_NOIND_main.lyrdb
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : Evaluate switches.
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : tables selected: main
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : deep mode is enabled.
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : FEOL enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : BEOL enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : OFFGRID enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : ANGLE enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : PIN enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : FORBIDDEN enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : RECOMMENDED enabled: true
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : PreCheck DRC enabled: false
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : CONNECTIVITY_RULES enabled: true.
2026-09-09 22:37:20 +0200: Memory Usage (433116K) : Read in polygons from layers.
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_drw has 213 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_pin has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_mask has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_filler has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_nofill has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_opc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_iopc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : activ_noqrc has 1 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : biwind_drw has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : biwind_opc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : pemwind_drw has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_drw has 308 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_pin has 6 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_filler has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_nofill has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_opc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_iopc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : gatpoly_noqrc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : cont_drw has 5907 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : cont_opc has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : nsd_drw has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : nsd_block has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : metal1_drw has 594 polygons
2026-09-09 22:37:20 +0200: Memory Usage (435432K) : metal1_pin has 20 polygons
